"identifier","events_per_day","employment_status"
"1",10,"Employed"
"3",77,"Employed"
"4",21,"Employed"
"8",3,"Employed"
"9",13,"Employed"
"11",3,"Employed"
"12",20,"Employed"
"14",20,"Employed"
"15",8,"Employed"
"18",8,"Employed"
"20",3,"Employed"
"21",13,"Employed"
"22",27,"Employed"
"23",2,"Employed"
"25",18,"Employed"
"26",26,"Employed"
"28",8,"Employed"
"33",10,"Employed"
"34",3,"Employed"
"36",7,"Employed"
"37",31,"Employed"
"39",23,"Employed"
"41",9,"Employed"
"44",5,"Employed"
"45",20,"Employed"
"46",9,"Employed"
"47",8,"Employed"
"48",4,"Employed"
"49",14,"Employed"
"50",5,"Employed"
"51",38,"Employed"
"52",14,"Employed"
"53",8,"Employed"
"56",1,"Employed"
"57",2,"Employed"
"58",10,"Employed"
"59",12,"Employed"
"62",148,"Employed"
"64",4,"Employed"
"65",305,"Employed"
"67",14,"Employed"
"69",3,"Employed"
"70",22,"Employed"
"71",4,"Employed"
"72",31,"Employed"
"73",12,"Employed"
"74",110,"Employed"
"78",17,"Employed"
"79",11,"Employed"
"80",42,"Employed"
"81",4,"Employed"
"83",34,"Employed"
"84",19,"Employed"
"85",72,"Employed"
"87",NULL,"Employed"
"89",2,"Employed"
"90",3,"Employed"
"91",26,"Employed"
"92",3,"Employed"
"93",19,"Employed"
"94",58,"Employed"
"98",3,"Employed"
"102",17,"Employed"
"103",12,"Employed"
"104",5,"Employed"
"105",1,"Employed"
"106",25,"Employed"
"107",35,"Employed"
"108",51,"Employed"
"109",7,"Employed"
"110",11,"Employed"
"111",3,"Employed"
"112",2,"Employed"
"114",27,"Employed"
"115",89,"Employed"
"116",5,"Employed"
"117",13,"Employed"
"118",11,"Employed"
"119",NULL,"Employed"
"120",20,"Employed"
"121",15,"Employed"
"122",28,"Employed"
"123",18,"Employed"
"126",50,"Employed"
"128",10,"Employed"
"129",10,"Employed"
"130",4,"Employed"
"131",11,"Employed"
"132",5,"Employed"
"134",10,"Employed"
"135",8,"Employed"
"136",15,"Employed"
"137",1,"Employed"
